Nlihc_id,Status,Subsidized,Cat_Expiring,Cat_Failing_Insp,Proj_Name,Proj_Addre,Proj_City,Proj_ST,Proj_Zip,Proj_Units_Tot,Proj_Units_Assist_Min,Proj_Units_Assist_Max,Hud_Own_Effect_dt,Hud_Own_Name,Hud_Own_Type,Hud_Mgr_Name,Hud_Mgr_Type,Subsidy_Start_First,Subsidy_Start_Last,Subsidy_End_First,Subsidy_End_Last,Ward2012,PBCA,Anc2012,Psa2012,Geo2010,Cluster_tr2000,Cluster_tr2000_name,Zip,Proj_image_url,Proj_streetview_url,Proj_address_id,Proj_x,Proj_y,Proj_lat,Proj_lon,Bldg_count,Update_Dtm,Subsidy_info_source_property,contract_number,Nlihc_id,Category_Code,Cat_At_Risk,Cat_More_Info,Cat_Lost,Cat_Replaced
NL000109,Active,Yes,Yes,No,Fort Chaplin Park,4212 East Capitol Street NE,Washington,DC,20019,549,413,549,,Ft Chaplin Park Lp / Emmanuel Ogundipe,,,Individual,01/01/2000,01/01/2000,01/01/2015,01/01/2030,Ward 7,No,ANC 7D,PSA 603,Tract 96.03,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",ZIP 20019,,,305753,405090.34,135903.77,38.89096344,-76.94132501,1,03SEP15:17:34:41,,,NL000109,1 - At-Risk or Flagged for Follow-up,Yes,No,No,No
NL000110,Active,Yes,No,No,Fort Lincoln,2855 Bladensburg Road NE,Washington,DC,20018,120,33,120,,Dcha,Public housing authority,,Individual,,,,,Ward 5,No,ANC 5C,PSA 503,Tract 90,Cluster 24,"Woodridge, Fort Lincoln, Gateway",ZIP 20018,http://citizenatlas.dc.gov/mobilevideo/20040927/QR121737.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.92806061,-76.96093611&cbp=11,48.3977715717221,,0,2.09",289764,403387.22,140020.95,38.92806061,-76.96093611,1,03SEP15:17:34:41,,,NL000110,5 - Other Subsidized Property,No,No,No,No
NL000111,Active,Yes,Yes,No,Fort Lincoln Senior Village I,3001 Bladensburg Road NE,Washington,DC,20018,187,187,187,12/02/1976,Fort Lincoln Senior Village No. I Associates,Profit motivated,Fort Lincoln Realty Co.,Profit motivated,10/01/2006,10/01/2006,09/30/2031,09/30/2031,Ward 5,Yes,ANC 5C,PSA 503,Tract 90,Cluster 24,"Woodridge, Fort Lincoln, Gateway",ZIP 20018,http://citizenatlas.dc.gov/mobilevideo/20040927/QR121629.jpg,,287351,403447.95,140054.18,38.92835972,-76.96023556,1,03FEB16:14:05:12,,DC390001010,NL000111,5 - Other Subsidized Property,No,No,No,No
NL000112,Active,Yes,Yes,No,Fort Lincoln Senior Village II,3005 Bladensburg Road NE,Washington,DC,20018,177,176,176,12/03/1976,Fort Lincoln Senior Village II Limited Partnership,Profit motivated,Fort Lincoln Realty Co.,Profit motivated,02/12/1979,02/12/1979,09/30/2030,09/30/2030,Ward 5,Yes,ANC 5C,PSA 503,Tract 90,Cluster 24,"Woodridge, Fort Lincoln, Gateway",ZIP 20018,http://citizenatlas.dc.gov/mobilevideo/20040927/QR121515.jpg,,287362,403531.77,140110.4,38.92886584,-76.95926859,1,03FEB16:14:05:12,,DC398023003,NL000112,5 - Other Subsidized Property,No,No,No,No
NL000113,Active,Yes,Yes,No,Fort Lincoln Senior Village III,3298 Fort Lincoln Drive NE,Washington,DC,20018,306,304,304,09/30/1980,Fort Lincoln Senior Village III Limited Partnershi,Limited dividend,Fort Lincoln Realty Co.,Profit motivated,11/01/2006,11/01/2006,10/31/2031,10/31/2031,Ward 5,Yes,ANC 5C,PSA 503,Tract 90,Cluster 24,"Woodridge, Fort Lincoln, Gateway",ZIP 20018,,,151262,403752.35,139266.78,38.92126533,-76.95672928,1,03FEB16:14:05:12,,DC398023020,NL000113,5 - Other Subsidized Property,No,No,No,No
NL000114,Active,Yes,No,No,Foster House,801 Rhode Island Avenue NW,Washington,DC,20001,74,74,74,,New Bethel Bapt. Church Hsg.Corp.Inc.(Payee),Non-profit,"Key Property Management Services-DC, LLC",Profit motivated,08/01/2005,08/01/2005,05/31/2016,05/31/2016,Ward 6,Yes,ANC 6E,PSA 308,Tract 49.01,Cluster 7,"Shaw, Logan Circle",ZIP 20001,http://citizenatlas.dc.gov/mobilevideo/20040926/QQ124728.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.91215284,-77.02346652&cbp=11,335.486433631574,,0,2.09",225972,397964.77,138254.59,38.91215284,-77.02346652,1,01MAR16:15:34:26,0000010621,DC39L000078,NL000114,1 - At-Risk or Flagged for Follow-up,Yes,No,No,No
NL000115,Active,Yes,Yes,No,4400 Hunt Pl NE,4400 Hunt Place NE,Washington,DC,20019,15,13,15,,"Four Walls Development, Inc.",,,Individual,07/01/2006,07/01/2006,07/01/2046,07/01/2046,Ward 7,No,ANC 7D,PSA 602,Tract 78.09,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",ZIP 20019,http://citizenatlas.dc.gov/mobilevideo/20040719/DJ075137.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.9008358,-76.93853522&cbp=11,4.57824622668525,,0,2.09",288188,405331.63,136999.84,38.9008358,-76.93853522,1,03SEP15:17:34:41,,,NL000115,5 - Other Subsidized Property,No,No,No,No
NL000116,Active,Yes,Yes,No,Franklin Commons,101 Franklin Street NE,Washington,DC,20002,100,100,100,10/22/1982,Franklin Commons Limited Partnership,Limited dividend,Horning Brothers,Profit motivated,09/28/2003,09/28/2003,04/27/2019,04/27/2019,Ward 5,Yes,ANC 5E,PSA 502,Tract 92.03,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",ZIP 20002,http://citizenatlas.dc.gov/mobilevideo/20040812/MC111408.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.92575316,-77.00499432&cbp=11,211.759611876131,,0,2.09",149719,399566.93,139764.09,38.92575316,-77.00499432,1,03FEB16:14:05:12,,DC39H001004,NL000116,5 - Other Subsidized Property,No,No,No,No
NL000117,Active,Yes,Yes,No,Frederick Douglass (Douglas Glen Gardens),1460 Bangor Street SE; 1462 Bangor Street SE; 1452 Bangor Street SE; others,Washington,DC,20020,152,152,152,,Frederick Douglass Housing Limited Partnership,Profit motivated,Edgewood Management Corporation,Profit motivated,12/01/1980,12/01/1980,11/30/2020,04/01/2047,Ward 8,Yes,ANC 8A,PSA 701,Tract 75.03,Cluster 28,Historic Anacostia,ZIP 20020,http://citizenatlas.dc.gov/mobilevideo/20040822/DM100418.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.86093904,-76.98622536&cbp=11,46.3445615514397,,0,2.09",150028,401219.092,132555.312,38.86081309,-76.98595379,5,01MAR16:15:34:26,0000009425,DC390009001,NL000117,5 - Other Subsidized Property,No,No,No,No
NL000119,Active,Yes,Yes,No,Widrich Courts (Friendship Courts),4632 Livingston Road SE,Washington,DC,20032,136,136,136,,Friendship Court Apartments Lp / Michael Huke,,,Individual,03/01/2000,01/01/2001,03/01/2015,01/01/2031,Ward 8,No,ANC 8D,PSA 708,Tract 98.11,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.82286555,-77.00164548&cbp=11,81.7710508216314,,0,2.09",147337,399857.11,128342.78,38.82286555,-77.00164548,1,03SEP15:17:34:41,,,NL000119,2 - Expiring Subsidy,No,No,No,No
NL000120,Active,Yes,Yes,No,Friendship Terrace,4201 Butterworth Place NW,Washington,DC,20016,199,182,199,,"Episcopal Church Home, Friendship, Inc.",Non-profit,"Coordinated Services Management, Inc.",Profit motivated,02/01/1973,10/01/2010,01/01/2023,09/01/2045,Ward 3,Yes,ANC 3E,PSA 202,Tract 10.01,Cluster 11,"Friendship Heights, American University Park, Tenleytown",ZIP 20016,http://citizenatlas.dc.gov/mobilevideo/20040726/OQ083015.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.94907321,-77.08236855&cbp=11,279.627115951404,,0,2.09",266144,392859.95,142356.03,38.94907321,-77.08236855,1,01MAR16:15:34:26,0000019444,DC39M000054,NL000120,5 - Other Subsidized Property,No,No,No,No
NL000121,Active,Yes,No,No,Ft. Dupont Dwellings & Addition,155 Ridge Road SE,Washington,DC,20019,123,123,123,,,Individual,,Individual,,,,,Ward 7,No,ANC 7F,PSA 603,Tract 77.03,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",ZIP 20019,http://citizenatlas.dc.gov/mobilevideo/20041017/QH135631.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.88602724,-76.94971038&cbp=11,229.288832856109,,0,2.09",286318,404363.17,135355.38,38.88602724,-76.94971038,1,03SEP15:17:34:41,,,NL000121,5 - Other Subsidized Property,No,No,No,No
NL000123,Active,Yes,Yes,No,Washington Overlook,3500 Commodore Joshua Barney Drive NE; 3502 Commodore Joshua Barney Drive NE; 3504 Commodore Joshua Barney Drive NE; others,Washington,DC,20018,158,33,33,,Fort Lincoln Realty Company / Juan Gabbis,,,Individual,01/01/1990,01/01/1990,01/01/2020,01/01/2020,Ward 5,No,ANC 5C,PSA 503,Tract 90,Cluster 24,"Woodridge, Fort Lincoln, Gateway",ZIP 20018,http://citizenatlas.dc.gov/mobilevideo/20040831/EV100542.jpg,,146166,403856.46545,139971.01091,38.927608813,-76.95552471,11,03SEP15:17:34:41,,,NL000123,5 - Other Subsidized Property,No,No,No,No
NL000126,Active,Yes,Yes,No,Galen Terrace,1649 W Street SE,Washington,DC,20020,84,84,84,03/01/2006,"Galen Terrace, LP",Profit motivated,"Eagle Point Management, LLC",Profit motivated,01/01/2006,03/01/2007,03/01/2022,01/01/2036,Ward 8,Yes,ANC 8A,PSA 701,Tract 75.04,Cluster 28,Historic Anacostia,ZIP 20020,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.86277033,-76.98141933&cbp=11,19.6280867513984,,0,2.09",148153,401612.6,132772.65,38.86277033,-76.98141933,1,03FEB16:14:05:12,,DC39K100003,NL000126,5 - Other Subsidized Property,No,No,No,No
NL000127,Active,Yes,No,No,Garfield Hills Apts (Garfield Park),2303 Hartford Street SE,Washington,DC,20020,94,94,94,03/24/2006,"Garfield Hills Preservation Associates, LP",Profit motivated,"POAH Communities, LLC",Profit motivated,09/01/1999,01/01/2007,09/01/2014,01/01/2037,Ward 8,Yes,ANC 8B,PSA 702,Tract 74.08,Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",ZIP 20020,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.85383641,-76.97272627&cbp=11,192.185806822887,,0,2.09",148203,402367.36,131781.11,38.85383641,-76.97272627,1,01MAR16:15:34:26,0000000832,DC39H001002,NL000127,5 - Other Subsidized Property,No,No,No,No
NL000128,Active,Yes,Yes,No,Maplewood Court,2306 Hartford Street SE,Washington,DC,20020,94,94,94,,Garfield Park Preservation Llc / Leith Wain,,,Individual,01/01/2000,01/01/2000,01/01/2030,01/01/2030,Ward 8,No,ANC 8B,PSA 702,Tract 74.08,Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",ZIP 20020,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.85503641,-76.97228352&cbp=11,51.6780466631189,,0,2.09",286806,402405.75,131914.33,38.85503641,-76.97228352,1,03SEP15:17:34:41,,,NL000128,4 - More Info Needed,No,Yes,No,No
NL000129,Active,Yes,No,No,Garfield Terrace (Family),2335 11th Street NW; 2337 11th Street NW; 2339 11th Street NW; others,Washington,DC,20001,51,51,51,,,Individual,,Individual,,,,,Ward 1,No,ANC 1B,PSA 304,Tract 35,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",ZIP 20001,,,290631,397707.08556,139312.64444,38.921683508,-77.0264412,9,03SEP15:17:34:41,,,NL000129,5 - Other Subsidized Property,No,No,No,No
NL000130,Active,Yes,No,No,Garfield Terrace (Senior),2301 11th Street NW,Washington,DC,20001,228,228,228,,,Individual,,Individual,,,,,Ward 1,No,ANC 1B,PSA 304,Tract 35,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",ZIP 20001,http://citizenatlas.dc.gov/mobilevideo/20040819/DJ130622.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.92148867,-77.02582517&cbp=11,269.212125462872,,0,2.09",284334,397760.5,139291,38.92148867,-77.02582517,1,03SEP15:17:34:41,,,NL000130,5 - Other Subsidized Property,No,No,No,No
NL000132,Inactive,No,No,No,Geraldine Apts,4313 Wheeler Road SE,Washington,DC,20032,42,,,,"4301 Wheeler Road, LLC; registered agent is Registered Agent, Inc. on Vermont Av",,,Individual,,,,,Ward 8,No,ANC 8E,PSA 706,Tract 97,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.83227727,-76.98803046&cbp=11,207.911545747026,,0,2.09",147538,401039.27,129387.61,38.83227727,-76.98803046,1,03SEP15:17:34:41,,,NL000132,6 - Lost Rental,No,No,Yes,No
NL000133,Active,Yes,Yes,Yes,Gibson Plaza,1301 7th Street NW,Washington,DC,20001,217,217,217,05/11/1998,First Rising Mt. Zion Baptist Church Hsg. Cor,Non-profit,Crawford Edgewood Managers,Profit motivated,08/01/2005,02/01/2012,07/31/2034,01/01/2052,Ward 6,Yes,ANC 6E,PSA 308,Tract 48.02,Cluster 7,"Shaw, Logan Circle",ZIP 20001,http://citizenatlas.dc.gov/mobilevideo/20040926/QQ112746.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.90794224,-77.02165259&cbp=11,104.586964789123,,0,2.09",238632,398121.98,137787.14,38.90794224,-77.02165259,1,01MAR16:15:34:26,0000019242,DC39M000033,NL000133,3 - Recent Failing REAC Score,No,No,No,No
NL000134,Inactive,No,No,No,Glendale Gardens,4651 Nannie Helen Burroughs Avenue NE,Washington,DC,20019,80,N,N,,CIH Glendale Plaza Limited Partnership,Profit motivated,"CIH Properties, Inc.",Profit motivated,N,N,N,N,Ward 7,No,ANC 7C,PSA 602,Tract 78.04,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",ZIP 20019,http://citizenatlas.dc.gov/mobilevideo/20040715/DF081910.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.89855336,-76.93425212&cbp=11,199.982212005017,,0,2.09",288260,405703.34,136746.73,38.89855336,-76.93425212,1,03SEP15:17:34:41,,,NL000134,6 - Lost Rental,No,No,Yes,No
NL000135,Active,Yes,Yes,No,Glenn Arms Apts,2524 17th Street NW; 2518 17th Street NW,Washington,DC,20009,45,45,45,05/08/1998,Glenn Arms Associates Limited Partnership,Profit motivated,"T.U.C. Management Company, Inc.",Profit motivated,05/01/2006,02/01/2010,09/30/2019,01/01/2045,Ward 1,No,ANC 1C,PSA 303,Tract 38,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",ZIP 20009,http://citizenatlas.dc.gov/mobilevideo/20040922/DM121927.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.92377264,-77.03937856&cbp=11,270.13600334305,,0,2.09",235708,396584.905,139556.08,38.92387281,-77.03938306,2,01MAR16:15:34:26,0000018413,DC39M000095,NL000135,5 - Other Subsidized Property,No,No,No,No
NL000136,Active,Yes,Yes,No,Golden Rule Apts,901 New Jersey Avenue NW,Washington,DC,20001,184,184,184,07/27/2006,GRA Properties Limited Partnership,Profit motivated,"Columbus Property Management Development, Inc.",Non-profit,01/01/2007,05/01/2008,08/01/2022,04/01/2048,Ward 6,Yes,ANC 6E,PSA 103,Tract 47.02,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",ZIP 20001,http://citizenatlas.dc.gov/mobilevideo/20041003/Q3091634.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.9018665,-77.01287352&cbp=11,83.5450901774143,,0,2.09",238376,398883.33,137112.54,38.9018665,-77.01287352,1,01MAR16:15:34:26,0000001630,DC39L000010,NL000136,5 - Other Subsidized Property,No,No,No,No
NL000137,Inactive,No,No,No,Golden Rule Center,21 K Terrace NW,Washington,DC,20001,40,,,05/14/1965,Bible Way Church,Non-profit,Crawford Edgewood Managers,Profit motivated,,,,,Ward 6,No,ANC 6E,PSA 103,Tract 47.01,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",ZIP 20001,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.90324534,-77.01189245&cbp=11,101.321359080673,,0,2.09",300254,398968.45,137265.59,38.90324534,-77.01189245,1,03SEP15:17:34:41,,,NL000137,6 - Lost Rental,No,No,Yes,No
NL000138,Active,Yes,Yes,No,Golden Rule Plaza,1050 New Jersey Avenue NW,Washington,DC,20001,119,119,119,,Bibleway Church,,,Individual,01/01/2003,12/01/2004,10/01/2018,11/01/2044,Ward 6,No,ANC 6E,PSA 103,Tract 47.01,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",ZIP 20001,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.9032935,-77.0145647&cbp=11,67.9649936977792,,0,2.09",300893,398736.66,137270.97,38.9032935,-77.0145647,1,01MAR16:15:34:26,0000006442,,NL000138,5 - Other Subsidized Property,No,No,No,No
NL000139,Active,Yes,Yes,No,Good Hope House,1715 V Street SE,Washington,DC,20020,8,8,8,,"Bethany, Inc.",,,Individual,03/31/2005,03/31/2005,03/31/2015,03/31/2015,Ward 8,No,ANC 8A,PSA 701,Tract 75.04,Cluster 28,Historic Anacostia,ZIP 20020,http://citizenatlas.dc.gov/mobilevideo/20041012/MC130746.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.86385044,-76.97930516&cbp=11,184.547835471905,,0,2.09",57429,401796.06,132892.59,38.86385044,-76.97930516,1,03SEP15:17:34:41,,,NL000139,2 - Expiring Subsidy,No,No,No,No
NL000140,Active,Yes,Yes,No,Graceview Apts,2310 16th Street SE,Washington,DC,20020,38,38,38,,"House of Help City of Hope, Inc.",,,Individual,09/01/2005,09/01/2005,09/01/2025,09/01/2025,Ward 8,No,ANC 8A,PSA 701,Tract 75.04,Cluster 28,Historic Anacostia,ZIP 20020,http://citizenatlas.dc.gov/mobilevideo/20040824/DO121104.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.86209703,-76.98250477&cbp=11,83.2880291695979,,0,2.09",150352,401518.41,132697.89,38.86209703,-76.98250477,1,03SEP15:17:34:41,,,NL000140,5 - Other Subsidized Property,No,No,No,No
NL000142,Active,Yes,Yes,No,Green Door,1623 16th Street NW,Washington,DC,20009,10,10,10,06/29/1982,"Green Door Housing, Inc.",Non-profit,Green Door Housing Corporation,Profit motivated,06/01/1984,06/13/2003,06/12/2018,05/01/2024,Ward 2,Yes,ANC 2B,PSA 301,Tract 52.01,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",ZIP 20009,http://citizenatlas.dc.gov/mobilevideo/20040801/Q1082417.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.91200748,-77.03604735&cbp=11,355.670283474249,,0,2.09",242289,396873.64,138238.81,38.91200748,-77.03604735,1,03FEB16:14:05:12,,DC39T792001,NL000142,5 - Other Subsidized Property,No,No,No,No
NL000145,Active,Yes,No,No,"Greenleaf Gardens, Additions & Extensions",203 N Street SW,Washington,DC,20024,278,278,278,,,Individual,,Individual,,,,,Ward 6,No,ANC 6D,PSA 105,Tract 64,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",ZIP 20024,http://citizenatlas.dc.gov/mobilevideo/20041020/OK140337.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.87505322,-77.01391335&cbp=11,114.436772397969,,0,2.09",277800,398792.68,134136.07,38.87505322,-77.01391335,1,03SEP15:17:34:41,,,NL000145,5 - Other Subsidized Property,No,No,No,No
NL000146,Active,Yes,No,No,Greenleaf Senior,1200 Delaware Avenue SW,Washington,DC,20024,215,215,215,,,Individual,,Individual,,,,,Ward 6,No,ANC 6D,PSA 105,Tract 64,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",ZIP 20024,http://citizenatlas.dc.gov/mobilevideo/20041020/OK134118.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.87593234,-77.01325802&cbp=11,180.601163467769,,0,2.09",72281,398849.56,134233.65,38.87593234,-77.01325802,1,03SEP15:17:34:41,,,NL000146,5 - Other Subsidized Property,No,No,No,No
NL000147,Active,Yes,Yes,No,Greenway Apts (Meadow Green Courts),3539 A Street SE,Washington,DC,20019,470,470,470,,Edmonston & Gallagher/Greenway Apts LP / Tom Gallagher,,,Individual,01/01/1997,01/01/1997,01/01/2027,01/01/2027,Ward 7,No,ANC 7F,PSA 603,Tract 77.08,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",ZIP 20019,http://citizenatlas.dc.gov/mobilevideo/20041010/QA105407.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.88863174,-76.95431425&cbp=11,172.945729365826,,0,2.09",33307,403963.59,135644.29,38.88863174,-76.95431425,1,01MAR16:15:34:26,0000008625,,NL000147,5 - Other Subsidized Property,No,No,No,No
NL000148,Active,Yes,Yes,No,George Washington Carver Senior Apts,4800 East Capitol Street NE,Washington,DC,20019,103,103,104,,Carver Seniors,,Crawford Edgewood Management,Profit motivated,07/01/2004,01/01/2007,01/01/2037,07/22/2044,Ward 7,No,ANC 7C,PSA 608,Tract 78.04,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",ZIP 20019,http://citizenatlas.dc.gov/mobilevideo/20040729/DT104536.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.89022374,-76.93354942&cbp=11,180.3855242717,,0,2.09",17394,405722.11,135804.48,38.89006511,-76.93404359,1,03SEP15:17:34:41,,,NL000148,5 - Other Subsidized Property,No,No,No,No
NL000150,Active,Yes,No,No,Harvard Towers,1845 Harvard Street NW,Washington,DC,20009,193,193,193,,,Individual,,Individual,,,,,Ward 1,No,ANC 1D,PSA 408,Tract 27.02,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",ZIP 20009,http://citizenatlas.dc.gov/mobilevideo/20040921/DL104343.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.92839326,-77.04323548&cbp=11,80.0370026741777,,0,2.09",236261,396251.08,140058.04,38.92839326,-77.04323548,1,03SEP15:17:34:41,,,NL000150,5 - Other Subsidized Property,No,No,No,No
NL000151,Active,Yes,Yes,No,Haven House,1477 Newton Street NW,Washington,DC,20010,29,29,29,,"Haven House Coop Association, Inc.",,,Individual,01/02/2002,01/01/2008,01/02/2017,11/01/2042,Ward 1,No,ANC 1A,PSA 409,Tract 28.01,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",ZIP 20010,http://citizenatlas.dc.gov/mobilevideo/20040816/DG125217.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.9328559,-77.03452393&cbp=11,28.5338165498353,,0,2.09",234585,397006.64,140553.11,38.9328559,-77.03452393,1,01MAR16:15:34:26,0000007433,,NL000151,5 - Other Subsidized Property,No,No,No,No
NL000152,Active,Yes,Yes,No,Hedin House,2900 Newton Street NE,Washington,DC,20018,48,35,35,,Hedin Associates,Limited dividend,"T.U.C. Management Company, Inc.",Profit motivated,10/01/2005,10/01/2005,02/29/2016,02/29/2016,Ward 5,Yes,ANC 5C,PSA 503,Tract 94,Cluster 24,"Woodridge, Fort Lincoln, Gateway",ZIP 20018,http://citizenatlas.dc.gov/mobilevideo/20040908/Q8132435.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.93429019,-76.96634513&cbp=11,350.463886103366,,0,2.09",287312,402917.95,140712.3,38.93429019,-76.96634513,1,01MAR16:15:34:26,0000010222,DC39M000030,NL000152,2 - Expiring Subsidy,No,No,No,No
NL000153,Active,Yes,Yes,No,Henson Ridge Phase II,1804 Alabama Avenue SE,Washington,DC,20020,156,156,156,,Mid-City Urban/Integral,,Edgewood Management Corporation,Profit motivated,01/01/2007,02/01/2007,01/01/2037,02/01/2042,Ward 8,No,ANC 8E,PSA 704,Tract 74.04,Cluster 38,"Douglas, Shipley Terrace",ZIP 20020,http://citizenatlas.dc.gov/mobilevideo/20041017/MH081928.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.84793772,-76.9789628&cbp=11,51.6477384973453,,0,2.09",277969,401826.18,131126.17,38.84793772,-76.9789628,1,01MAR16:15:34:26,0000003031,,NL000153,5 - Other Subsidized Property,No,No,No,No
NL000154,Active,Yes,Yes,No,Henson Ridge I,1804 Alabama Avenue SE,Washington,DC,20020,124,124,124,,Mid-City Urban/Integral,,Edgewood Management Corporation,Profit motivated,01/01/2004,01/01/2005,01/01/2034,12/01/2044,Ward 8,No,ANC 8E,PSA 704,Tract 74.04,Cluster 38,"Douglas, Shipley Terrace",ZIP 20020,http://citizenatlas.dc.gov/mobilevideo/20041017/MH081928.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.84793772,-76.9789628&cbp=11,51.6477384973453,,0,2.09",277969,401826.18,131126.17,38.84793772,-76.9789628,1,01MAR16:15:34:26,0000006048,,NL000154,5 - Other Subsidized Property,No,No,No,No
NL000157,Active,Yes,No,No,Highland Dwellings,4001 8th Street SE,Washington,DC,20032,208,30,208,,DC Housing Authority,,,Individual,,,,,Ward 8,No,ANC 8E,PSA 706,Tract 98.02,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.83174239,-76.9948342&cbp=11,268.281102112032,,0,2.09",155614,400448.53,129328.18,38.83174239,-76.9948342,1,03SEP15:17:34:41,,,NL000157,5 - Other Subsidized Property,No,No,No,No
NL000158,Active,Yes,No,No,Highland Addition,3801 9th Street SE,Washington,DC,20032,118,118,118,,Dcha,,,Individual,,,,,Ward 8,No,ANC 8E,PSA 706,Tract 98.01,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,http://citizenatlas.dc.gov/mobilevideo/20041014/OE084642.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.83426876,-76.99368583&cbp=11,221.674122258674,,0,2.09",150760,400548.22,129608.63,38.83426876,-76.99368583,1,03SEP15:17:34:41,,,NL000158,5 - Other Subsidized Property,No,No,No,No
NL000159,Active,Yes,Yes,No,Hope Apts (Community Of Hope Inc.),3715 2nd Street SE,Washington,DC,20032,13,13,13,,,Individual,,Individual,09/01/2005,09/01/2005,09/01/2045,09/01/2045,Ward 8,No,ANC 8C,PSA 707,Tract 98.03,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,http://citizenatlas.dc.gov/mobilevideo/20041013/OD130011.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.83732519,-77.00305805&cbp=11,270.660034380009,,0,2.09",31648,399734.5,129947.9,38.83732519,-77.00305805,1,03SEP15:17:34:41,,,NL000159,5 - Other Subsidized Property,No,No,No,No
NL000161,Active,Yes,No,No,Hopkins Apts,1000 12th Street SE,Washington,DC,20003,158,158,158,,,Individual,,Individual,,,,,Ward 6,No,ANC 6B,PSA 106,Tract 71,Cluster 26,"Capitol Hill, Lincoln Park",ZIP 20003,http://citizenatlas.dc.gov/mobilevideo/20040902/M2093647.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.87819492,-76.98974085&cbp=11,171.54688900559,,0,2.09",280103,400890.19,134484.78,38.87819492,-76.98974085,1,03SEP15:17:34:41,,,NL000161,5 - Other Subsidized Property,No,No,No,No
